date,close,high,low,open,quoteVolume,volume,weightedAverage
2015-08-25 20:00:00,5e-07,5e-07,5e-07,5e-07,100.0,5e-05,5e-07
2015-08-25 20:05:00,5e-07,5e-07,5e-07,5e-07,11800.0,0.0059,5e-07
2015-08-25 20:10:00,5e-07,5e-07,5e-07,5e-07,0.0,0.0,5e-07
2015-08-25 20:15:00,5e-07,5e-07,5e-07,5e-07,0.0,0.0,5e-07
2015-08-25 20:20:00,5e-07,5e-07,5e-07,5e-07,0.0,0.0,5e-07
2015-08-25 20:25:00,5e-07,5e-07,5e-07,5e-07,0.0,0.0,5e-07
2015-08-25 20:30:00,5e-07,5e-07,5e-07,5e-07,0.0,0.0,5e-07
2015-08-25 20:35:00,5e-07,5e-07,5e-07,5e-07,0.0,0.0,5e-07
2015-08-25 20:40:00,5e-07,5e-07,5e-07,5e-07,0.0,0.0,5e-07
2015-08-25 20:45:00,5e-07,5e-07,5e-07,5e-07,0.0,0.0,5e-07
2015-08-25 20:50:00,6.9e-05,6.9e-05,2.454e-05,5.454e-05,2875.4,0.15773031,5.485e-05
2015-08-25 20:55:00,9.5e-07,5.9e-06,9.5e-07,5.9e-06,785500.0,1.16951396,1.48e-06
2015-08-25 21:00:00,6e-06,2.11e-05,9.5e-07,9.5e-07,304417.98726668,0.38019792,1.24e-06
2015-08-25 21:05:00,1.09e-06,3.109e-05,5e-07,6e-06,1354946.7065089,1.45884721,1.07e-06
2015-08-25 21:10:00,9.8e-07,3.99e-06,5e-07,5e-07,1950181.5964815,1.14341311,5.8e-07
2015-08-25 21:15:00,2.2e-06,2.2e-06,4.1e-07,4.1e-07,526099.26751663,0.48736789,9.2e-07
2015-08-25 21:20:00,5e-07,9e-07,4.2e-07,4.2e-07,1793636.24,0.85841812,4.7e-07
2015-08-25 21:25:00,5e-07,6.5e-07,3.8e-07,4.8e-07,2332803.6865761,1.0262498,4.3e-07
2015-08-25 21:30:00,4e-07,4e-07,3e-07,3.7e-07,2026450.9227105,0.71762898,3.5e-07
2015-08-25 21:35:00,2.3e-07,4.4e-07,2.3e-07,2.4e-07,747271.4356087,0.1855423,2.4e-07
2015-08-25 21:40:00,1.5e-07,2.1e-07,1.5e-07,2.1e-07,41268584.157796,6.79321932,1.6e-07
2015-08-25 21:45:00,2.8e-07,2.8e-07,2.8e-07,2.8e-07,31785.71428571,0.00889999,2.8e-07
2015-08-25 21:50:00,2e-07,2.8e-07,2e-07,2.8e-07,131857.75,0.02692017,2e-07
2015-08-25 21:55:00,2.1e-07,2.1e-07,1.7e-07,1.7e-07,11500.0,0.002375,2e-07
2015-08-25 22:00:00,1.7e-07,2.1e-07,1.7e-07,2.1e-07,158598.81512605,0.02699281,1.7e-07
2015-08-25 22:05:00,1.7e-07,2e-07,1.7e-07,2e-07,423216.55,0.07264331,1.7e-07
2015-08-25 22:10:00,2e-07,2e-07,1.5e-07,1.6e-07,29325679.342018,5.14672203,1.7e-07
